file_1, l1 =728522752.0
file_2, l2 =957331460.0
file_3, l3 =733453610.0
file_4, l4 =813667150.0
file_5, l5 =1432485772.0
file_6, l6 =724189656.0
file_7, l7 =865093632.0
file_8, l8 =726702972.0
file_9, l9 =732966912.0
file_10, l10 =762750976.0
file_11, l11 =1172272277.0
file_12, l12 =743432192.0
file_13, l13 =32270.0
file_14, l14 =733693952.0
file_15, l15 =772761600.0
file_16, l16 =734488576.0
file_17, l17 =725112832.0
file_18, l18 =737132544.0
file_19, l19 =724733952.0
file_20, l20 =734377984.0
file_21, l21 =32236.0
file_22, l22 =736415744.0
file_23, l23 =732055552.0
file_24, l24 =823875584.0
file_25, l25 =734396416.0
file_26, l26 =734112768.0
file_27, l27 =677036032.0
file_28, l28 =730570752.0
file_29, l29 =716939264.0
file_30, l30 =857411584.0
file_31, l31 =1302550528.0
file_32, l32 =725694464.0
file_33, l33 =734230528.0
file_34, l34 =610224128.0
file_35, l35 =744658944.0
file_36, l36 =750053376.0
file_37, l37 =790938732.0
file_38, l38 =782573568.0
file_39, l39 =734855168.0
file_40, l40 =730576896.0
file_41, l41 =721893376.0
file_42, l42 =31189.0
file_43, l43 =680605696.0
file_44, l44 =730859520.0
file_45, l45 =728561664.0
file_46, l46 =678473728.0
file_47, l47 =733956096.0
file_48, l48 =738834432.0
file_49, l49 =1048592384.0
file_50, l50 =729809888.0
file_51, l51 =742180668.0
file_52, l52 =682984394.0
file_53, l53 =33269.0
file_54, l54 =736210944.0
file_55, l55 =729944064.0
file_56, l56 =730677248.0
file_57, l57 =747104256.0
file_58, l58 =698439680.0
file_59, l59 =732849122.0
file_60, l60 =1001613256.0
file_61, l61 =721565696.0
file_62, l62 =387035136.0
file_63, l63 =733854370.0
file_64, l64 =734894080.0
file_65, l65 =733032448.0
file_66, l66 =724692108.0
file_67, l67 =734218240.0
file_68, l68 =1415798784.0
file_69, l69 =733577216.0
file_70, l70 =1567329446.0
file_71, l71 =728420352.0
file_72, l72 =724262202.0
file_73, l73 =579993600.0
file_74, l74 =734322688.0
file_75, l75 =724027392.0
file_76, l76 =730470400.0
file_77, l77 =647912400.0
file_78, l78 =1570866148.0
file_79, l79 =736712442.0
file_80, l80 =733945856.0
file_81, l81 =736139264.0
file_82, l82 =702802274.0
file_83, l83 =720570368.0
file_84, l84 =1562175488.0
file_85, l85 =730286080.0
file_86, l86 =735608832.0
file_87, l87 =733198336.0
file_88, l88 =684746752.0
file_89, l89 =739653632.0
file_90, l90 =654133248.0
file_91, l91 =718309376.0
file_92, l92 =690616320.0
file_93, l93 =725612544.0
file_94, l94 =726951764.0
file_95, l95 =595556352.0
