Adv.	t. min. sec.	value
1	1	52	€ 491.00
2	1	40	€ 551.00
3	0	22	€ 208.00
4	1	30	€ 510.00
5	0	12	€ 624.00
6	0	48	€ 492.00
7	1	55	€ 786.00
8	1	25	€ 981.00
9	0	13	€ 595.00
10	0	40	€ 448.00
11	1	39	€ 226.00
12	1	33	€ 646.00
13	1	40	€ 368.00
14	0	27	€ 224.00
15	0	21	€ 746.00
16	0	14	€ 298.00
17	0	23	€ 818.00
18	1	40	€ 150.00
19	1	7	€ 627.00
20	0	37	€ 552.00
21	0	38	€ 379.00
22	1	50	€ 657.00
23	0	26	€ 537.00
24	1	50	€ 877.00
25	0	12	€ 818.00
26	1	15	€ 336.00
27	0	27	€ 220.00
28	0	39	€ 573.00
29	0	34	€ 559.00
30	1	35	€ 950.00
31	0	5	€ 978.00
32	1	33	€ 670.00
33	1	24	€ 211.00
34	1	26	€ 832.00
35	1	34	€ 829.00
36	1	40	€ 142.00
37	0	8	€ 499.00
38	1	16	€ 273.00
39	1	55	€ 421.00
40	0	17	€ 284.00
41	1	48	€ 732.00
42	1	14	€ 978.00
43	0	21	€ 576.00
44	1	27	€ 267.00
45	1	41	€ 760.00
46	1	42	€ 705.00
47	0	36	€ 264.00
48	1	33	€ 871.00
49	1	55	€ 217.00
50	1	35	€ 402.00
51	1	30	€ 380.00
52	1	14	€ 680.00
53	0	31	€ 851.00
54	1	55	€ 279.00
55	0	36	€ 458.00
56	0	28	€ 386.00
57	1	48	€ 297.00
58	1	35	€ 747.00
59	1	26	€ 847.00
60	1	38	€ 384.00
61	1	49	€ 211.00
62	1	39	€ 550.00
63	0	31	€ 111.00
64	1	46	€ 252.00
65	0	46	€ 901.00
66	1	47	€ 143.00
67	0	28	€ 323.00
68	1	9	€ 184.00
69	1	16	€ 375.00
70	0	48	€ 124.00
71	0	15	€ 228.00
72	0	53	€ 784.00
73	1	40	€ 860.00
74	1	27	€ 200.00
75	0	45	€ 653.00
76	0	26	€ 433.00
77	1	43	€ 961.00
78	1	29	€ 157.00
79	1	19	€ 249.00
80	1	55	€ 300.00
81	1	38	€ 634.00
82	1	9	€ 988.00
83	0	41	€ 953.00
84	1	28	€ 625.00
85	0	46	€ 616.00
86	0	24	€ 711.00
87	1	26	€ 334.00
88	0	19	€ 106.00
89	0	47	€ 981.00
90	1	48	€ 955.00
91	1	40	€ 581.00
92	0	28	€ 531.00
93	0	40	€ 101.00
94	0	38	€ 636.00
95	0	47	€ 442.00
96	0	29	€ 311.00
97	1	37	€ 630.00
98	0	54	€ 807.00
99	0	22	€ 723.00
100	1	35	€ 436.00
101	1	46	€ 392.00
102	0	13	€ 190.00
103	1	37	€ 554.00
104	1	46	€ 404.00
105	0	47	€ 840.00
106	0	26	€ 302.00
107	0	22	€ 796.00
108	1	49	€ 995.00
109	0	43	€ 231.00
110	0	48	€ 338.00
111	0	18	€ 299.00
112	1	16	€ 855.00
113	0	39	€ 142.00
114	0	19	€ 480.00
115	1	10	€ 320.00
116	0	18	€ 957.00
117	0	46	€ 930.00
118	0	53	€ 665.00
119	1	14	€ 946.00
120	1	17	€ 500.00
121	1	7	€ 842.00
122	1	42	€ 168.00
123	1	6	€ 926.00
124	0	55	€ 351.00
125	1	29	€ 936.00
126	0	34	€ 369.00
127	1	38	€ 849.00
128	0	36	€ 342.00
129	1	51	€ 275.00
130	1	28	€ 115.00
131	1	55	€ 557.00
132	1	21	€ 866.00
133	1	23	€ 924.00
134	1	52	€ 496.00
135	0	17	€ 787.00
136	1	35	€ 496.00
137	0	37	€ 549.00
138	0	17	€ 803.00
139	1	36	€ 717.00
140	1	54	€ 770.00
141	0	36	€ 278.00
142	0	35	€ 647.00
143	0	22	€ 920.00
144	1	15	€ 430.00
145	1	5	€ 938.00
146	1	47	€ 512.00
147	0	55	€ 841.00
148	0	47	€ 372.00
149	0	10	€ 107.00
150	1	46	€ 631.00
151	1	20	€ 358.00
152	0	33	€ 638.00
153	0	38	€ 253.00
154	1	21	€ 508.00
155	1	29	€ 309.00
156	0	13	€ 423.00
157	1	7	€ 978.00
158	0	14	€ 992.00
159	0	18	€ 496.00
160	1	55	€ 813.00
161	0	45	€ 664.00
162	1	30	€ 876.00
163	1	30	€ 825.00
164	0	49	€ 376.00
165	1	39	€ 605.00
166	0	39	€ 560.00
167	1	6	€ 416.00
168	0	52	€ 900.00
169	0	27	€ 471.00
170	0	13	€ 520.00
171	0	12	€ 310.00
172	1	26	€ 392.00
173	1	27	€ 453.00
174	1	20	€ 173.00
175	0	8	€ 674.00
176	1	16	€ 926.00
177	0	35	€ 260.00
178	0	43	€ 652.00
179	1	43	€ 668.00
180	1	24	€ 581.00
181	0	6	€ 603.00
182	1	47	€ 682.00
183	0	20	€ 684.00
184	0	6	€ 395.00
185	1	46	€ 699.00
186	0	27	€ 566.00
187	0	54	€ 199.00
188	0	26	€ 179.00
189	0	16	€ 136.00
190	1	35	€ 122.00
191	0	11	€ 213.00
192	1	19	€ 843.00
193	0	52	€ 347.00
194	1	12	€ 746.00
195	0	25	€ 936.00
196	1	39	€ 178.00
197	1	28	€ 831.00
198	1	54	€ 213.00
199	1	36	€ 113.00
200	0	53	€ 581.00

