[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1]
[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0]
[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0]
[1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0]
[1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1]
[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
[0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]
[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]
[1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0]
[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1]
[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]
[0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1]
[0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]
[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0]
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]
[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]
[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]
[0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1]
[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
[1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]
[1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]

[8457, 9259, 767, 5157, 4034, 6497, 1643, 8819, 1626, 2760, 1183, 1647, 7640, 2077, 2124, 8940, 7893, 3466, 7282, 5766, 4376, 6821, 5087, 2757, 3057, 2818, 7330, 4456, 7154, 605]

        proc.0	proc.1	proc.2	proc.3	proc.4	proc.5	proc.6	proc.7	proc.8	proc.9	proc.10	proc.11	proc.12	proc.13	proc.14	cost
doc.0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	8457
doc.1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9259
doc.2	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	767
doc.3	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	5157
doc.4	1	0	0	0	1	0	1	0	1	1	1	0	0	1	0	4034
doc.5	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	6497
doc.6	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	1643
doc.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8819
doc.8	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1626
doc.9	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	2760
doc.10	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1183
doc.11	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1647
doc.12	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	7640
doc.13	1	0	0	1	1	1	0	1	1	0	1	0	0	1	0	2077
doc.14	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2124
doc.15	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	8940
doc.16	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	7893
doc.17	0	1	0	1	1	0	0	1	0	0	0	0	1	0	1	3466
doc.18	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	7282
doc.19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5766
doc.20	0	0	0	0	1	0	0	1	1	0	0	1	1	0	1	4376
doc.21	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	6821
doc.22	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	5087
doc.23	0	1	0	0	1	1	0	1	0	0	1	0	0	1	1	2757
doc.24	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3057
doc.25	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2818
doc.26	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7330
doc.27	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	4456
doc.28	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	7154
doc.29	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	605
